,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
71371,-1.2186723,-2.917545,17929_115_B1_2,0,Nucleoplasm,VRK1,ENSG00000100749,U-251 MG,Q99986 H0YJ50 H0YJF7 H0YJJ9
71372,-1.9710459,-2.5531256,17929_117_B1_1,0,Nucleoplasm,VRK1,ENSG00000100749,U-2 OS,Q99986 H0YJ50 H0YJF7 H0YJJ9
71373,-1.4474661,-3.5371106,17929_117_B1_2,0,Nucleoplasm,VRK1,ENSG00000100749,U-2 OS,Q99986 H0YJ50 H0YJF7 H0YJJ9
71462,-3.0494545,-1.2966357,20122_221_H6_1,0,Nucleoplasm,UBN2,ENSG00000157741,U-251 MG,Q6ZU65 C9J6Y5 H7C4P8
71463,-2.47769,-1.4889686,20122_221_H6_2,0,Nucleoplasm,UBN2,ENSG00000157741,U-251 MG,Q6ZU65 C9J6Y5 H7C4P8
71464,-2.5760832,-1.9333395,20122_222_H6_1,0,Nucleoplasm,UBN2,ENSG00000157741,A-431,Q6ZU65 C9J6Y5 H7C4P8
71465,-2.5657787,-1.8328862,20122_222_H6_2,0,Nucleoplasm,UBN2,ENSG00000157741,A-431,Q6ZU65 C9J6Y5 H7C4P8
71466,2.276074,7.554625,20122_248_H6_1,0,Nucleoplasm,UBN2,ENSG00000157741,U-2 OS,Q6ZU65 C9J6Y5 H7C4P8
71467,-2.2797978,-1.3137666,20122_248_H6_2,0,Nucleoplasm,UBN2,ENSG00000157741,U-2 OS,Q6ZU65 C9J6Y5 H7C4P8
71716,-3.3986928,-1.6191717,156_659_A9_1,0,Nucleoplasm,ERCC4,ENSG00000175595,A-431,Q92889 I3L4K0 I3NI48
71717,-3.4553792,-1.7259598,156_659_A9_2,0,Nucleoplasm,ERCC4,ENSG00000175595,A-431,Q92889 I3L4K0 I3NI48
72617,-3.426269,-1.384545,41593_813_G6_2,0,Nucleoplasm,ANKRD11,ENSG00000167522,A-431,Q6UB99 A0A087WTN8 A0A2R8Y438 A0A2R8Y4T9 A0A2R8Y5V1 A0A2R8Y728 A0A2R8Y7Z1 A0A2R8YE03 A0A2R8YE94 A0A2R8YEI0 H0Y2U4 H0Y3E3 H3BNU4 X5D778
72644,-2.8708918,-1.4910836,41593_813_G6_1,0,Nucleoplasm,ANKRD11,ENSG00000167522,A-431,Q6UB99 A0A087WTN8 A0A2R8Y438 A0A2R8Y4T9 A0A2R8Y5V1 A0A2R8Y728 A0A2R8Y7Z1 A0A2R8YE03 A0A2R8YE94 A0A2R8YEI0 H0Y2U4 H0Y3E3 H3BNU4 X5D778
72646,-2.421325,-1.588674,41593_758_G6_2,0,Nucleoplasm,ANKRD11,ENSG00000167522,U-2 OS,Q6UB99 A0A087WTN8 A0A2R8Y438 A0A2R8Y4T9 A0A2R8Y5V1 A0A2R8Y728 A0A2R8Y7Z1 A0A2R8YE03 A0A2R8YE94 A0A2R8YEI0 H0Y2U4 H0Y3E3 H3BNU4 X5D778
72651,-2.7274075,-1.933577,41484_1664_C11_1,0,Nucleoplasm,INO80,ENSG00000128908,U-2 OS,Q9ULG1 A0A087X0U7 H0YKH3 H0YMN5 H0YNL3
72652,-3.9617846,-2.72569,41484_1664_C11_3,0,Nucleoplasm,INO80,ENSG00000128908,U-2 OS,Q9ULG1 A0A087X0U7 H0YKH3 H0YMN5 H0YNL3
