,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
40515,1.4346428,-2.9936585,11224_85_C10_2,2 7,"Nucleoli,Golgi app.",EFCAB14,ENSG00000159658,U-251 MG,O75071 A0A5F9ZHQ6 A0A6I8PIF8 A0A6I8PIP2 A0A6I8PS42 A0A6I8PU78 S4R3Q1
40516,1.4609123,-3.0104835,11224_85_C10_1,2 7,"Nucleoli,Golgi app.",EFCAB14,ENSG00000159658,U-251 MG,O75071 A0A5F9ZHQ6 A0A6I8PIF8 A0A6I8PIP2 A0A6I8PS42 A0A6I8PU78 S4R3Q1
40559,-2.1487186,-6.5174093,1022_171_F7_2,0 3,"Nucleoplasm,N. fibrillar c.",DKC1,ENSG00000130826,U-2 OS,O60832 C9IYT0 H7BZF2 H7C0M1 H7C2Q2 H7C2Q9
40560,-2.3732364,-6.908238,1022_171_F7_1,0 3,"Nucleoplasm,N. fibrillar c.",DKC1,ENSG00000130826,U-2 OS,O60832 C9IYT0 H7BZF2 H7C0M1 H7C2Q2 H7C2Q9
40561,-2.3398693,-6.7971735,1022_170_F7_2,0 3,"Nucleoplasm,N. fibrillar c.",DKC1,ENSG00000130826,A-431,O60832 C9IYT0 H7BZF2 H7C0M1 H7C2Q2 H7C2Q9
40562,-2.1343389,-6.3587103,1022_170_F7_1,0 3,"Nucleoplasm,N. fibrillar c.",DKC1,ENSG00000130826,A-431,O60832 C9IYT0 H7BZF2 H7C0M1 H7C2Q2 H7C2Q9
40563,-1.9152209,-5.566934,1022_169_F7_2,0 3,"Nucleoplasm,N. fibrillar c.",DKC1,ENSG00000130826,U-251 MG,O60832 C9IYT0 H7BZF2 H7C0M1 H7C2Q2 H7C2Q9
40564,-1.9559777,-5.4527435,1022_169_F7_1,0 3,"Nucleoplasm,N. fibrillar c.",DKC1,ENSG00000130826,U-251 MG,O60832 C9IYT0 H7BZF2 H7C0M1 H7C2Q2 H7C2Q9
41389,5.8742013,-2.872625,66175_1478_A12_1,0 2,"Nucleoplasm,Nucleoli",FAM133A,ENSG00000179083,U-2 OS,Q8N9E0
41390,0.32831246,-5.525927,66175_1478_A12_3,0 2,"Nucleoplasm,Nucleoli",FAM133A,ENSG00000179083,U-2 OS,Q8N9E0
41653,0.7463319,-5.095945,6458_72_E8_1,0 2,"Nucleoplasm,Nucleoli",TOP2A,ENSG00000131747,A-431,P11388 J3KTB7 J3QR57
41654,0.59653014,-5.1238356,6458_72_E8_2,0 2,"Nucleoplasm,Nucleoli",TOP2A,ENSG00000131747,A-431,P11388 J3KTB7 J3QR57
42347,-1.9832075,-5.8119245,18472_152_F6_1,0 3,"Nucleoplasm,N. fibrillar c.",NOP58,ENSG00000055044,U-251 MG,Q9Y2X3 F8WED0 H7BZ72
42349,-0.61553985,-4.8833466,69513_1354_B10_5,0 2,"Nucleoplasm,Nucleoli",FAM133A,ENSG00000179083,U-2 OS,Q8N9E0
42350,-1.3142965,-4.008105,69513_1354_B10_6,0 2,"Nucleoplasm,Nucleoli",FAM133A,ENSG00000179083,U-2 OS,Q8N9E0
42351,-0.47749737,-5.2842073,69513_1362_B10_1,0 2,"Nucleoplasm,Nucleoli",FAM133A,ENSG00000179083,MCF7,Q8N9E0
42352,-0.58570194,-5.144075,69513_1362_B10_2,0 2,"Nucleoplasm,Nucleoli",FAM133A,ENSG00000179083,MCF7,Q8N9E0
42409,-2.1049712,-6.2445774,18472_152_F6_2,0 3,"Nucleoplasm,N. fibrillar c.",NOP58,ENSG00000055044,U-251 MG,Q9Y2X3 F8WED0 H7BZ72
42410,-1.7144328,-5.7365723,18472_154_F6_1,0 3,"Nucleoplasm,N. fibrillar c.",NOP58,ENSG00000055044,U-2 OS,Q9Y2X3 F8WED0 H7BZ72
42411,-1.7024871,-5.757523,18472_154_F6_2,0 3,"Nucleoplasm,N. fibrillar c.",NOP58,ENSG00000055044,U-2 OS,Q9Y2X3 F8WED0 H7BZ72
42455,-0.9076555,-5.3492417,18472_198_F6_1,0 3,"Nucleoplasm,N. fibrillar c.",NOP58,ENSG00000055044,A-431,Q9Y2X3 F8WED0 H7BZ72
42474,-2.0172954,-5.9317937,18472_198_F6_2,0 3,"Nucleoplasm,N. fibrillar c.",NOP58,ENSG00000055044,A-431,Q9Y2X3 F8WED0 H7BZ72
42498,-0.53600883,-5.363547,74391_1436_C3_3,0 2,"Nucleoplasm,Nucleoli",INTS3,ENSG00000143624,U-2 OS,Q68E01 A0A096LNW8 A0A096LPB9 H0Y8Z1
42778,-0.958717,-5.479184,38186_423_H6_3,0 2,"Nucleoplasm,Nucleoli",PTMS,ENSG00000159335,A-431,P20962 F5GXR3
42788,-0.8547799,-5.127552,38186_426_H6_2,0 2,"Nucleoplasm,Nucleoli",PTMS,ENSG00000159335,U-251 MG,P20962 F5GXR3
42789,-1.0980269,-4.9113073,38186_426_H6_1,0 2,"Nucleoplasm,Nucleoli",PTMS,ENSG00000159335,U-251 MG,P20962 F5GXR3
42790,-0.14510754,-5.9575944,38186_423_H6_2,0 2,"Nucleoplasm,Nucleoli",PTMS,ENSG00000159335,A-431,P20962 F5GXR3
42792,-1.2488706,-5.1073885,38186_422_H6_3,0 2,"Nucleoplasm,Nucleoli",PTMS,ENSG00000159335,U-2 OS,P20962 F5GXR3
42793,-1.2848821,-5.0839887,38186_422_H6_2,0 2,"Nucleoplasm,Nucleoli",PTMS,ENSG00000159335,U-2 OS,P20962 F5GXR3
43055,-0.21714905,-5.6195097,35881_398_F9_3,0 2,"Nucleoplasm,Nucleoli",LYAR,ENSG00000145220,U-251 MG,Q9NX58 D6RDJ1
43064,-0.45126086,-5.607526,35881_381_F9_1,0 2,"Nucleoplasm,Nucleoli",LYAR,ENSG00000145220,U-2 OS,Q9NX58 D6RDJ1
43065,-0.565468,-5.46929,35881_381_F9_2,0 2,"Nucleoplasm,Nucleoli",LYAR,ENSG00000145220,U-2 OS,Q9NX58 D6RDJ1
43066,-0.46161067,-5.437686,35881_398_F9_2,0 2,"Nucleoplasm,Nucleoli",LYAR,ENSG00000145220,U-251 MG,Q9NX58 D6RDJ1
