Gene	Ensembl	Uniprot
TCEAL2	ENSG00000184905	Q9H3H9
TCEANC	ENSG00000176896	Q8N8B7
TCF12	ENSG00000140262	Q99081
TCF15	ENSG00000125878	Q12870
TCF23	ENSG00000163792	Q7RTU1
TCP11L2	ENSG00000166046	Q8N4U5
TEPSIN	ENSG00000167302	Q96N21
TERT	ENSG00000164362	O14746
THBS2	ENSG00000186340	P35442
THEM6	ENSG00000130193	Q8WUY1
THOC1	ENSG00000079134	Q96FV9
THOC6	ENSG00000131652	Q86W42
THOC7	ENSG00000163634	Q6I9Y2
THRAP3	ENSG00000054118	Q9Y2W1
TLCD4	ENSG00000152078	Q96MV1
TMEM179B	ENSG00000185475	Q7Z7N9
TMEM209	ENSG00000146842	Q96SK2
TMEM259	ENSG00000182087	Q4ZIN3
TOR1B	ENSG00000136816	O14657
TREML1	ENSG00000161911	Q86YW5
TRIP12	ENSG00000153827	Q14669
TSC22D3	ENSG00000157514	Q99576
U2AF2	ENSG00000063244	P26368
UBAP2L	ENSG00000143569	Q14157
UBE3B	ENSG00000151148	Q7Z3V4
UBE4A	ENSG00000110344	Q14139
UFC1	ENSG00000143222	Q9Y3C8
UHMK1	ENSG00000152332	Q8TAS1
UNC45A	ENSG00000140553	Q9H3U1
USP22	ENSG00000124422	Q9UPT9
USP36	ENSG00000055483	Q9P275
USP43	ENSG00000154914	Q70EL4
VAX2	ENSG00000116035	Q9UIW0
VPS72	ENSG00000163159	Q15906
VXN	ENSG00000169085	Q8TAG6
WDR17	ENSG00000150627	Q8IZU2
WRN	ENSG00000165392	Q14191
WTAP	ENSG00000146457	Q15007
XYLB	ENSG00000093217	O75191
YLPM1	ENSG00000119596	P49750
ZAR1L	ENSG00000189167	A6NP61
ZBTB18	ENSG00000179456	Q99592
ZBTB8A	ENSG00000160062	Q96BR9
ZC2HC1C	ENSG00000119703	Q53FD0
ZC3H11A	ENSG00000058673	O75152
ZC3H11B	ENSG00000215817	A0A1B0GTU1
ZC3H14	ENSG00000100722	Q6PJT7
ZC3H18	ENSG00000158545	Q86VM9
ZCCHC4	ENSG00000168228	Q9H5U6
ZCWPW2	ENSG00000206559	Q504Y3
ZDHHC15	ENSG00000102383	Q96MV8
ZFP14	ENSG00000142065	Q9HCL3
ZIM2	ENSG00000269699	Q9NZV7
ZKSCAN7	ENSG00000196345	Q9P0L1
ZMYND15	ENSG00000141497	Q9H091
ZNF160	ENSG00000170949	Q9HCG1
ZNF165	ENSG00000197279	P49910
ZNF169	ENSG00000175787	Q14929
ZNF217	ENSG00000171940	O75362
ZNF250	ENSG00000196150	P15622
ZNF304	ENSG00000131845	Q9HCX3
ZNF337	ENSG00000130684	Q9Y3M9
ZNF382	ENSG00000161298	Q96SR6
ZNF441	ENSG00000197044	Q8N8Z8
ZNF446	ENSG00000083838	Q9NWS9
ZNF527	ENSG00000189164	Q8NB42
ZNF528	ENSG00000167555	Q3MIS6
ZNF551	ENSG00000204519	Q7Z340
ZNF560	ENSG00000198028	Q96MR9
ZNF572	ENSG00000180938	Q7Z3I7
ZNF584	ENSG00000171574	Q8IVC4
ZNF621	ENSG00000172888	Q6ZSS3
ZNF695	ENSG00000197472	Q8IW36
ZNF786	ENSG00000197362	Q8N393
ZNF821	ENSG00000102984	O75541
ZNF843	ENSG00000176723	Q8N446
ZNHIT6	ENSG00000117174	Q9NWK9
ZSCAN5A	ENSG00000131848	Q9BUG6
ZSCAN5B	ENSG00000197213	A6NJL1
ZSCAN5C	ENSG00000204532	A6NGD5
ZSWIM5	ENSG00000162415	Q9P217
